name 2,Country Code,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Country Name,Region,Economy,LDC,SIDS,LLDC,HDI,Status,Project Count,Output Count,Budget Total,Direct Beneficiaries
Côte d'Ivoire,CIV,384,Africa,Sub-Saharan Africa,,yes,,African Group,Cote d'Ivoire,RBA,Lower middle income,,,,Medium,CO Update-3,1,1,450174.24,55.0
Cuba,CUB,192,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,Cuba,RBLAC,Upper middle income,,SIDS,,High,Clean Up-2,8,8,17446265.0,351852.0
Cyprus,CYP,196,Asia,Western Asia,,yes,,Asia-Pacific Group,Cyprus,RBEC,High income,,,,Very High,Done,0,0,0.0,0.0
Djibouti,DJI,262,Africa,Sub-Saharan Africa,,yes,,African Group,Djibouti,RBA,Lower middle income,LDC,,,Low,Clean Up,3,4,8782420.0,52932.0
Dominican Republic,DOM,214,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,Dominican Republic,RBLAC,Upper middle income,,SIDS,,High,Clean Up-2,2,10,128119160.0,102897.1
Ecuador,ECU,218,Americas,Latin America and the Caribbean,,yes,,GRULAC,Ecuador,RBLAC,Upper middle income,,,,High,Clean Up,2,4,1519637.0,0.0
Egypt,EGY,818,Africa,Northern Africa,,yes,,African Group,Egypt,RBAS,Lower middle income,,,,High,Updated-2,4,4,12352346.0,381500.0
El Salvador,SLV,222,Americas,Latin America and the Caribbean,,yes,,GRULAC,El Salvador,RBLAC,Lower middle income,,,,Medium,Clean Up,1,4,9682192.0,50000.0
Equatorial Guinea,GNQ,226,Africa,Sub-Saharan Africa,,yes,,African Group,Equatorial Guinea,RBA,Upper middle income,,,,Medium,Clean Up-2,1,1,3502968.0,5000.0
Eritrea,ERI,232,Africa,Sub-Saharan Africa,,yes,,African Group,Eritrea,RBA,Low income,LDC,,,Low,Assumed no projects,0,0,0.0,0.0
Eswatini,SWZ,748,Africa,Sub-Saharan Africa,,yes,,African Group,Eswatini,RBA,Lower middle income,,,LLDC,Medium,Clean Up-2,4,4,2938475.85,19990.0
Ethiopia,ETH,231,Africa,Sub-Saharan Africa,,yes,,African Group,Ethiopia,RBA,Low income,,,LLDC,Low,Not Updated,3,21,814347501.0,4182010.0
Fiji,FJI,242,Oceania,Melanesia,Pacific,yes,yes,Asia-Pacific Group,Fiji,RBAP,Upper middle income,,SIDS,,High,Clean Up,6,39,127518116.0,274710.88
Gabon,GAB,266,Africa,Sub-Saharan Africa,,yes,,African Group,Gabon,RBA,Upper middle income,,,,High,Assumed no projects,0,0,0.0,0.0
Gambia,GMB,270,Africa,Sub-Saharan Africa,,yes,,African Group,Gambia,RBA,Low income,LDC,,,Low,Clean Up-2,2,4,3017008.0,147217.76
Georgia,GEO,268,Asia,Western Asia,,yes,,Eastern European Group,Georgia,RBEC,Upper middle income,,,,Very High,Clean Up,4,8,5275729.0,6269.0
Ghana,GHA,288,Africa,Sub-Saharan Africa,,yes,,African Group,Ghana,RBA,Lower middle income,,,,Medium,Assumed no projects,0,0,0.0,0.0
Guatemala,GTM,320,Americas,Latin America and the Caribbean,,yes,,GRULAC,Guatemala,RBLAC,Upper middle income,,,,Medium,Done,0,0,0.0,0.0
